Company Name,Job Title,Description,Location,Salary,Required Skills
Amdocs,Software Developer,"Job ID: 76003

Required Travel :

[[filter11]]
Who are we?

If you’re a smartphone user then you are part of an ever more connected and digital world. At Amdocs, we are leading the digital revolution into the future. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are continually evolving our business to help you become more connected. We make sure that when you watch a video on YouTube, message friends on SnapChat or send your images on Instagram, you get a great service anytime, anywhere, and on any device. We are at the heart of the telecommunications industry working with giants such as AT&T, Vodafone, Telstra and Telefonica, helping them create an amazing new world for you where technology is being used in amazing new ways every single day.

In one sentence

Responsible for design, develop, modify, debug and/or maintain software systems.

Responsible for one or more specific modules within a large software system scope

What will your job look like?

You will design, develop, modify, debug and/or maintain software code according to functional, non-functional and technical design specifications.
You will follow Amdocs software engineering standards, applicable software development methodology and release processes, to ensure code is maintainable, scalable , supportable and demo the software products to stakeholders
You will investigate issues by reviewing/debugging code, provides fixes and workarounds, and reviews changes for operability to maintain existing software solutions.
You will work within a team, collaborate and add value through participation in peer code reviews, provide comments and suggestions, work with cross functional teams to achieve goals.
You will assume technical accountability for your specific work products within an application and provide technical support during solution design for new requirements.
You will be encourage to actively look for innovation and continuous improvement, efficiency in all assigned tasks.

All you need is...

Bachelor's degree in Science/IT/Computing or equivalent

2-3 years of experience in writing software code in at least one programming language
2-3 years of knowledge in Unix/Linux
Good knowledge in Object Oriented Design and development

Why you will love this job:

You will be challenged with design and develop new software applications
You will have the opportunity to work in a growing organization, with ever growing opportunities for personal growth
You will have the opportunity to work with the industry most advanced technologies


",India,"₹ 7,00,000","Unix,Amdocs,YouTube,IT,Linux"
Siemens Healthineers,Software Developer - C++,"The world is constantly

changing and we’re always thinking about what’s next. Can you help us build the

technologies and innovations of tomorrow?

Concepts that make

transport more efficient are in demand with the ever-increasing need for Advanta,

Mobility. With our long-standing transport expertise and our IT know-how, we

are constantly developing new, intelligent mobility solutions that increase

availability of infrastructure, optimize throughput and improve passenger

experience. It’s in how we electrify, automate and digitalize infrastructure

that we’re setting the benchmark for tomorrow’s mobility – today.

Our team of over 3,000

professionals forms a meaningful part of the global network of about 17,500

software guides within Siemens. In India, we have offices in Bengaluru,

Chennai, Gurgaon, Noida, and Pune.

What part will you play?

Design, build, and maintain efficient, reusable, and

 reliable code
Ensure the best possible performance, quality, and

 responsiveness of applications
Work towards defect prevention and provide proposals to

 team and leads for the same

Use your skills to move

the world forward

2 – 5 years of experience in C++ development.
Expertise in object-oriented programming

Knowledge of QTUnderstanding of basic

UMLUnit testing of the codeKnowledge of Rail domainBachelor’s degree in Electronic and

Tele-Communication OR Computer Science

We’ve got quite a lot to offer. How about you?

Competitive compensation
An opportunity to shape the future of autonomous

 systems
World-class researchers and engineers as team

 members
We are an equal opportunity employer and welcome

 diversity

This role is based in Pune. You’ll also get to

visit other locations in India and beyond, so you’ll need to go where this

journey takes you. In return, you’ll get the chance to work with teams

impacting entire cities, countries – and the shape of things to come.

Make your mark in our

exciting world at Siemens.

We’re Siemens. A collection of over 379,000 minds building the

future, one day at a time in over 200 countries. We're dedicated to equality

and we welcome applications that reflect the diversity of the communities we

work in. All employment decisions at Siemens are based on qualifications, merit

and business need. Bring your curiosity and imagination and help us shape

tomorrow.

Find out more about Advanta,

Mobility at: https://new.siemens.com/global/en/products/mobility.html

and about Siemens careers at: www.siemens.com/careers
Organization: ADVANTA

Company: Siemens Technology and Services Private Limited

Experience Level: Early Professional

Job Type: Full-time",Pune,"₹ 7,81,479","C++,Siemens,Computer,Technology,Communication,IT"
"JPMorgan Chase Bank, N.A.",Software Engineering - Java Developer,"As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience

Advanced knowledge of application, data, and infrastructure architecture disciplines

Understanding of architecture and design across all systems

Working proficiency in developmental toolsets

Knowledge of industry-wide technology trends and best practices

Ability to work in large, collaborative teams to achieve organizational goals

Passionate about building an innovative culture

Proficiency in one or more modern programming languages

Understanding of software skills such as business analysis, development, maintenance, and software improvement

Required:

B.S. or M.S. in computer science, information systems, math, business, or engineering
7+ years of professional experience
Excellent written and verbal communication and presentation skills
Strong business analysis skills
Agile/Scrum methodology
Strong understanding of Java fundamentals
Spring Framework - preferably with Spring boot
Strong object oriented design and modeling skills
Understanding of REST, SOAP services and micro-services architecture
Familiar with Agile methodologies such as SCRUM, LEAN, etc
Familiar with development tools such as Jenkins, Rundeck, SVN/Crucible/Jira, Git/Stash, etc

Secondary Skills:

Ability to design and implement application with response times with low latency & high throughput
Use of APM tools, profiling tools and performance tuning process
Exposure to cloud native development methodology (AWS / Pivotal or any other provider) and related aspects like API


management, scalability



Experience with dev-ops, CI-CD and Agile methodologies
Experience in load testing and performance benchmarking
Exposure with Big Data technologies like Cassandra
Understanding of caching frameworks
Strong communication skills and ability to work in a multi-location teamJPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.


We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",Bangalore,"₹ 12,13,127","Java,API,Jenkins,Git,Spring,Framework,SVN,Pivotal,Software,Scrum,SOAP,Agile,Crucible"
J.P. Morgan,Software Engineering - Data Developer,"As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:


BS/BA degree or equivalent experience Strong understanding of Python, Spark, Scala, Java, Microservice design patterns, Object Oriented, Functional & Reactive Programming Hands-on experience with Pytest, ScalaTest, and experience using Jenkins, SonarQube, GIT, Maven. Apache Kafka a plus, proficiency in SQL, preferably across multiple databases - Cassandra or any NoSQL database is a must. Advanced knowledge of application, data, and infrastructure architecture disciplines Understanding of architecture and design across all systems Working proficiency in developmental toolsets Knowledge of industry-wide technology trends and best practices Ability to work in large, collaborative teams to achieve organizational goals Passionate about building an innovative culture Proficiency in one or more modern programming languages Understanding of software skills such as business analysis, development, maintenance, and software improvement


JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",Hyderābād,"₹ 12,13,127","Scala,Java,Jenkins,Apache Kafka,SQL,NoSQL,Software,Python,Programming"
UST Global,Software Developer,"""BRM Developer

Description:

UST Global® is looking for BRM(Oracle Billing and Revenue Management suite)developer to build end to end business solutions and to work with one of the leading financial services organization in the US. The ideal candidate must possess strong background on Oracle BRM suite. The candidate must possess excellent written and verbal communication skills with the ability to collaborate effectively with domain experts and technical experts in the team.

Responsibilities:

As a BRM developer; you will

•Maintain active relationships with customer scrum master; architect to understand business requirements and review designs

•Own backlog items and coordinate with other team members to develop the features planned for each sprint

•Undertake unit testing of developed components

Requirements:

•4+ years of experience with development experience using OBRM suite

•Knowledge of google/AWS cloud platform

•Experience in designing pricing plans – products; discounts; charge shares etc in PDC ; pricing center

•Solid experience in Subscription management; Discounting; Billing; Payments; collections etc

•Experience product customization and integration various modules with Oracle BRM

•Working independently in developing custom and policy opcodes

•Work experience in implementing BRM in different geographies.

•Working knowledge in the Java; scripting and SQL queries.

•Exposure to agile methodology for product development

•Good communication skills

•Strong knowledge of web service models

•Strong knowledge in creating and working with APIs

•Experience with Cloud services; specifically on AWS

•Strong exposure in Agile; Scaled Agile based development models

•Familiar with Interfaces such as REST web services""",Bangalore,"₹ 4,10,899","Java,Cloud,Oracle BRM,Billing,SQL,Interfaces,Oracle,Payments,Management,BRM,Agile"
Motorola Solutions,Software Engineer,"

If you are a current Motorola Solutions employee, please click this link to apply through your Workday account.

Company OverviewAt Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently. Whether it’s helping firefighters see through smoke, enabling police officers to see around street corners, or reliably keeping the lights on in homes and businesses around the world, our work supports those who put their lives on the line to keep us safe. Bring your passion, potential and talents to Motorola Solutions, and help us usher in a new era in public safety and security.

Department OverviewUGWP

Job DescriptionAnalyzes, develops, designs, and maintains software for the organization’s products and systems. Performs system integration of software and hardware to maintain throughput and program consistency. Develops, validates, and tests: structures and user documentation.

Basic Requirements

Hands-on experience in a full-stack python application development.Experience in creating REST API using Flask/Django Framework.Familiarity with concepts of MVC, ORM, and RestfulGood understanding of databases (Postgresql) or NoSQL(CBS)Hands-on experience with front-end technologies like AngularStrong knowledge of OOPs concepts.Familiar with Agile development methodologies and test-driven developmentSelf-motivated, results-driven individual, must be passionate about the work



Travel Requirements

Relocation Provided

Position TypeReferral Payment PlanNo",Bangalore,"₹ 10,50,000","Django,API,Flask,Framework,MVC,ORM,Agile"
"JPMorgan Chase Bank, N.A.",Software Engineering-J2ee Developer,"JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.

Equal Opportunity Employer/Disability/Veterans",Hyderābād,"₹ 12,13,127",
J.P. Morgan,Software Engineering - Java Developer (Loan IQ),"Wholesale Loans Technology supports Commercial Lending activities (Bi-Lateral or Multi-Lateral Loans) for multiple lines of businesses of JP Morgan Chase. As a member of the Loans team, you will be part of an agile feature team collaborating with the product owner and team members to provide quality technology solutions that address line of business needs. You will be designing and implementing the emerging architecture of the system, recommending UX standards, and contributing to architecture workshops.

This role is for a java/j2ee developer to work with the Wholesale Loan Technology team at JPMorgan, Bangalore office .

Required Skills

• Minimum 5 years of IT development experience in java/j2ee technologies.

• Minimum 3 years of hands-on programming/application development experience

In Spring boot, Micro services, Spring boot batch.

• JAVA/J2EE, REST, Agile, DevOps and TDD

• Excellent Core JAVA ( Java8 Features )skills having deep experience in OOAD, Threads & Concurrency and Collections

• Experience designing and implementing n-Tier systems

• Experience on Maven build tool and GITHUB.

• Strong experience utilizing standalone Spring Framework integration

• Strong object oriented analysis and design skills (OOAD)

• Strong technical knowledge and expertise with Oracle DB, writing & understanding complex queries and query optimization

• Great domain knowledge on Loan IQ functionalities and experience with syndicated banking could be an add on

• Ability to develop, debug, test, implement and design projects to bring efficiency to the application

• Perform code reviews and assist the team in supporting the application in all required environments

• Ability work with offshore/onshore team members globally

• Strong written and oral communication skills

• Agile development experience with SCRUM

• Self-starter

Desired Skills

2+ years of experience working in a financial services company environment and especially on Loans.
Exposure to Cloud Technologies like AWS
Knowledge on LoanIQ online, Data model , SDK scripts , API and Batches.
Experience with Continuous integration/Continuous delivery (CI/CD) including DevOps as part of Software Development and Deployment Life CycleJPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.


We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",Bangalore,"₹ 12,13,127","DevOps,API,Spring,Framework,Oracle,IT,Software,Collections,Continuous integration,Cloud,Continuous delivery,IQ,OOAD,SDK,Agile,J2EE,Technology,UX,Wholesale"
Oracle,Applications Developer 1,"Applications Developer 1-20000OOP Applicants are required to read, write, and speak the following languages: English Detailed Description and Job Requirements Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications.

As a member of the software engineering division, you will develop software according to provided design specifications. Analyze system specifications and existing business processes and information systems. Build enhancements and resolve bugs. Build and execute unit tests and unit test plans.

Work involves some problem solving with assistance and guidance in understanding and applying company policies and processes. Gaining competence in own area and acquiring a higher level understanding of role, processes and procedures. BS degree or equivalent experience relevant to functional area. 0-2 years of previous software engineering or related experience. Job: Product DevelopmentLocation: IN-IN,India-BengaluruOther Locations: IN-IN,India-MumbaiOrganization: OFSSJob Type: Regular Employee Hire",Mumbai,"₹ 9,00,097",
UST Global,Assoc. Software Developer,Informatica1.Good understanding on SQL and Stored Procedures2.Good in Unix and shell scripts3..Experience in B2B Integration projects4. Should have good analytical and problem-solving skills5. Should be good team player and able to lead a team of 6 members6. Should be able to understand legacy Informatica codes and re-design it to meet performance and best practices standards7.Should be able to troubleshoot and identify the translation issues when data transferred from source to target,Bangalore,"₹ 4,10,899","Integration,SQL,Informatica,Unix"
